act_arr_time,station,track,train,act_dep_time,act_occupied_time,act_travelling_time,stop,quantile_95_act_travelling_time,quantile_90_act_travelling_time,quantile_95_act_occupied_time,quantile_90_act_occupied_time,quantile_85_act_travelling_time
2019-12-26 11:03:43.833,KOT,05,GC21,2019-12-26 11:04:01.165,17.332,6.0,False,False,False,False,False,False
2019-12-26 11:03:46.424,SKM,08,RC02,2019-12-26 11:04:13.716,27.292,8.0,False,False,False,False,False,False
2019-12-26 11:03:47.020,KOB,08,QC07,2019-12-26 11:04:55.161,68.141,13.0,False,False,False,False,False,False
2019-12-26 11:03:47.817,SKM,05,GC22,2019-12-26 11:04:06.145,18.328,6.0,False,False,False,False,False,False
2019-12-26 11:03:48.767,MOK,44,RC28,2019-12-26 11:04:09.532,20.765,5.0,False,False,False,False,False,False
2019-12-26 11:03:48.813,LOF,14,QC03,2019-12-26 11:04:05.661,16.848,7.0,False,False,False,False,False,False
2019-12-26 11:03:50.606,MOK,37,GC23,2019-12-26 11:04:51.169,60.563,45.0,True,False,False,False,False,False
2019-12-26 11:03:50.607,KOT,07,GC21,2019-12-26 11:04:15.708,25.101,6.0,False,False,False,False,False,False
2019-12-26 11:03:50.791,WTS,02,QC05,2019-12-26 11:04:12.653,21.862,8.0,False,False,False,False,False,False
2019-12-26 11:03:51.603,HOM,06,QC27,2019-12-26 11:04:25.868,34.265,19.0,False,False,False,False,False,False
2019-12-26 11:03:52.002,WTS,14,RC04,2019-12-26 11:04:10.529,18.527,7.0,False,False,False,False,False,False
2019-12-26 11:03:54.192,MOK,46,RC28,2019-12-26 11:04:20.091,25.899,10.0,False,False,False,False,False,False
2019-12-26 11:03:54.790,SKM,07,GC22,2019-12-26 11:04:14.114,19.324,6.0,False,False,False,False,False,False
2019-12-26 11:03:55.188,SKM,10,RC02,2019-12-26 11:05:04.119,68.931,11.0,False,False,False,False,False,False
2019-12-26 11:03:56.783,YMT,31,GC24,2019-12-26 11:04:22.681,25.898,12.0,False,False,False,False,False,False
2019-12-26 11:03:56.783,KOT,02,QC03,2019-12-26 11:04:13.090,16.307,6.0,False,False,False,False,False,False
2019-12-26 11:03:56.981,NTK,02,RC08,2019-12-26 11:04:20.091,23.11,11.0,False,False,False,False,False,False
2019-12-26 11:03:57.381,KOT,09,GC21,2019-12-26 11:05:16.669,79.288,64.0,True,False,False,False,False,False
2019-12-26 11:03:57.381,YAT,7009,GC13,2019-12-26 11:04:21.058,23.677,15.0,False,False,False,False,False,False
2019-12-26 11:03:59.372,WTS,04,QC05,2019-12-26 11:04:23.278,23.906,8.0,False,False,False,False,False,False
2019-12-26 11:03:59.970,LOF,02,RC04,2019-12-26 11:04:19.692,19.722,5.0,False,False,False,False,False,False
2019-12-26 11:04:00.567,KOB,10,QC07,2019-12-26 11:05:06.112,65.545,52.0,True,False,False,False,False,False
2019-12-26 11:04:01.563,SKM,09,GC22,2019-12-26 11:04:18.696,17.133,4.0,False,False,False,False,False,False
2019-12-26 11:04:03.755,KOT,04,QC03,2019-12-26 11:04:21.684,17.929,7.0,False,False,False,False,False,False
2019-12-26 11:04:05.149,YMT,32,RC28,2019-12-26 11:04:28.665,23.516,8.0,False,False,False,False,False,False
2019-12-26 11:04:05.662,SKM,11,GC22,2019-12-26 11:04:27.063,21.401,4.0,False,False,False,False,False,False
